X ; Y ; Vx ; Vy ;
0.206179 ; 0.658678 ; 0.143631 ; -0.163616 ;
0.930990 ; 0.381107 ; 0.084071 ; 0.200828 ;
0.368796 ; 0.189236 ; -0.186970 ; 0.146359 ;
0.315671 ; 0.403103 ; -0.194965 ; -0.096895 ;
0.386507 ; 0.300786 ; -0.120150 ; 0.181560 ;
0.297711 ; 0.939863 ; -0.008965 ; 0.055759 ;
0.428110 ; 0.674283 ; 0.166780 ; -0.139945 ;
0.044573 ; 0.872897 ; -0.093220 ; -0.188863 ;
0.221107 ; 0.883976 ; 0.053573 ; -0.211021 ;
0.302531 ; 0.778566 ; 0.147750 ; -0.159906 ;
0.428537 ; 0.898239 ; 0.087685 ; 0.199277 ;
0.467869 ; 0.736573 ; -0.084802 ; -0.200521 ;
0.361184 ; 0.204774 ; -0.031262 ; -0.215459 ;
0.485546 ; 0.776962 ; -0.136030 ; 0.169988 ;
0.293850 ; 0.578038 ; 0.176281 ; 0.127769 ;
0.652743 ; 0.939112 ; 0.034996 ; -0.214884 ;
0.114923 ; 0.440262 ; 0.038991 ; -0.123147 ;
0.314249 ; 0.975281 ; -0.180494 ; -0.121746 ;
0.332817 ; 0.881529 ; 0.118781 ; -0.182458 ;
0.053097 ; 0.654296 ; 0.158342 ; -0.149425 ;
0.161673 ; 0.277801 ; 0.094449 ; -0.196161 ;
0.181914 ; 0.711807 ; 0.134953 ; 0.170844 ;
0.212867 ; 0.549898 ; 0.160202 ; -0.147429 ;
0.492323 ; 0.408824 ; 0.154528 ; -0.153366 ;
0.022070 ; 0.040255 ; 0.101014 ; -0.192863 ;
0.374845 ; 0.734821 ; -0.047939 ; 0.212372 ;
0.175699 ; 0.018669 ; 0.070144 ; -0.206106 ;
0.738613 ; 0.209555 ; 0.138648 ; 0.167860 ;
0.026896 ; 0.811071 ; -0.014638 ; 0.217223 ;
0.048471 ; 0.336682 ; -0.117000 ; 0.183605 ;
0.008066 ; 0.547546 ; -0.149637 ; -0.158141 ;
0.516938 ; 0.663697 ; -0.127153 ; 0.176726 ;
0.287167 ; 0.553633 ; 0.130701 ; -0.174118 ;
0.880607 ; 0.474327 ; 0.105386 ; -0.190509 ;
0.261503 ; 0.342162 ; 0.006943 ; -0.217605 ;
0.605124 ; 0.108723 ; -0.090622 ; -0.197959 ;
0.408654 ; 0.248296 ; 0.036617 ; -0.214614 ;
0.677177 ; 0.899554 ; 0.198938 ; 0.088450 ;
0.466557 ; 0.681726 ; 0.080722 ; -0.202198 ;
0.430285 ; 0.738188 ; 0.120934 ; -0.181039 ;
0.931667 ; 0.005802 ; -0.102516 ; -0.192069 ;
0.606832 ; 0.273666 ; -0.146913 ; -0.160675 ;
0.354927 ; 0.042504 ; -0.209742 ; 0.058380 ;
0.324437 ; 0.721709 ; -0.027142 ; 0.216017 ;
0.467746 ; 0.197168 ; 0.003807 ; -0.217682 ;
0.772606 ; 0.305960 ; 0.010013 ; 0.217485 ;
0.331818 ; 0.221404 ; 0.174873 ; 0.129690 ;
0.789773 ; 0.328992 ; 0.101572 ; -0.192570 ;
0.653252 ; 0.579885 ; 0.143471 ; 0.163756 ;
0.689893 ; 0.865247 ; 0.088682 ; 0.198835 ;
0.433542 ; 0.463095 ; -0.052125 ; -0.211384 ;
0.241583 ; 0.065302 ; -0.025880 ; -0.216172 ;
0.327080 ; 0.416978 ; 0.122059 ; -0.151570 ;
0.365097 ; 0.114341 ; -0.001176 ; -0.217712 ;
0.060315 ; 0.588722 ; 0.123113 ; 0.179564 ;
0.755894 ; 0.786130 ; -0.097958 ; 0.194433 ;
0.096320 ; 0.610737 ; 0.100403 ; -0.193182 ;
0.557857 ; 0.635923 ; -0.022451 ; 0.216555 ;
0.865532 ; 0.108635 ; -0.067340 ; -0.207039 ;
0.447156 ; 0.822699 ; 0.007236 ; 0.217595 ;
0.319444 ; 0.822266 ; -0.134940 ; -0.170854 ;
0.566248 ; 0.545146 ; 0.144392 ; -0.175727 ;
0.320153 ; 0.364659 ; 0.147099 ; 0.160505 ;
0.441199 ; 0.112106 ; 0.058650 ; -0.209667 ;
0.464058 ; 0.595969 ; 0.102170 ; -0.192253 ;
